Category,Sub Category,Top Brand,Brand Name,Brand Count
Clothing  Shoes & Jewelry,Men,NO,Reef,29,
Clothing  Shoes & Jewelry,Men,NO,Report,18,
Clothing  Shoes & Jewelry,Men,NO,Reyn Spooner,115,
Clothing  Shoes & Jewelry,Men,NO,Richer Poorer,2,
Clothing  Shoes & Jewelry,Men,NO,Rip Curl,544,
Clothing  Shoes & Jewelry,Men,NO,Ritmo Mundo,2,
Clothing  Shoes & Jewelry,Men,NO,Robert Graham,389,
Clothing  Shoes & Jewelry,Men,NO,Rock Revival,88,
Clothing  Shoes & Jewelry,Men,NO,Rockport,12,
Clothing  Shoes & Jewelry,Men,NO,Rothco,42,
Clothing  Shoes & Jewelry,Men,NO,Rusty,122,
Clothing  Shoes & Jewelry,Men,NO,RVCA,574,
Clothing  Shoes & Jewelry,Men,NO,Salomon,45,
Clothing  Shoes & Jewelry,Men,NO,Samsonite,3,
Clothing  Shoes & Jewelry,Men,NO,Sanuk,2,
Clothing  Shoes & Jewelry,Men,NO,Saucony,21,
Clothing  Shoes & Jewelry,Men,NO,Scotch & Soda,157,
Clothing  Shoes & Jewelry,Men,NO,SCOTT,1,
Clothing  Shoes & Jewelry,Men,NO,Scott,1,
Clothing  Shoes & Jewelry,Men,NO,Silver Jeans Co.,58,
Clothing  Shoes & Jewelry,Men,NO,Skechers,42,
Clothing  Shoes & Jewelry,Men,NO,Slate & Stone,29,
Clothing  Shoes & Jewelry,Men,NO,SockGuy,33,
Clothing  Shoes & Jewelry,Men,NO,Sof Sole,9,
Clothing  Shoes & Jewelry,Men,NO,Soffe,67,
Clothing  Shoes & Jewelry,Men,NO,SOREL,3,
Clothing  Shoes & Jewelry,Men,NO,Speedo,30,
Clothing  Shoes & Jewelry,Men,NO,Spiewak,14,
Clothing  Shoes & Jewelry,Men,NO,Spyder,290,
Clothing  Shoes & Jewelry,Men,NO,Stacy Adams,185,
Clothing  Shoes & Jewelry,Men,NO,Stance,185,
Clothing  Shoes & Jewelry,Men,NO,Star Wars,118,
Clothing  Shoes & Jewelry,Men,NO,Stetson,30,
Clothing  Shoes & Jewelry,Men,NO,Steve Madden,13,
Clothing  Shoes & Jewelry,Men,NO,Steven Alan,3,
Clothing  Shoes & Jewelry,Men,NO,Stone Rose,75,
Clothing  Shoes & Jewelry,Men,NO,Stuhrling Original,41,
Clothing  Shoes & Jewelry,Men,NO,Sundek,19,
Clothing  Shoes & Jewelry,Men,NO,Superdry,78,
Clothing  Shoes & Jewelry,Men,NO,Superga,2,
Clothing  Shoes & Jewelry,Men,NO,Surfside,3,
Clothing  Shoes & Jewelry,Men,NO,Surfside Supply,18,
Clothing  Shoes & Jewelry,Men,NO,Swiss Legend,3,
Clothing  Shoes & Jewelry,Men,NO,Swiss Precimax,38,
Clothing  Shoes & Jewelry,Men,NO,Szanto,3,
Clothing  Shoes & Jewelry,Men,NO,T Tahari,13,
Clothing  Shoes & Jewelry,Men,NO,TAG Heuer,2,
Clothing  Shoes & Jewelry,Men,NO,Tailor Vintage,22,
Clothing  Shoes & Jewelry,Men,NO,Tallia,6,
Clothing  Shoes & Jewelry,Men,NO,Tavik,60,
Clothing  Shoes & Jewelry,Men,NO,Teva,2,
Clothing  Shoes & Jewelry,Men,NO,Thaddeus,12,
Clothing  Shoes & Jewelry,Men,NO,Thaddeus O'Neil,15,
Clothing  Shoes & Jewelry,Men,NO,Theory,280,
Clothing  Shoes & Jewelry,Men,NO,Thomas Dean,32,
Clothing  Shoes & Jewelry,Men,NO,Thorlo,56,
Clothing  Shoes & Jewelry,Men,NO,Threads 4 Thought,147,
Clothing  Shoes & Jewelry,Men,NO,Timberland,74,
Clothing  Shoes & Jewelry,Men,NO,Timex,15,
Clothing  Shoes & Jewelry,Men,NO,Todd Snyder,6,
Clothing  Shoes & Jewelry,Men,NO,Todd Snyder + Champion,29,
Clothing  Shoes & Jewelry,Men,NO,Tom & Teddy,19,
Clothing  Shoes & Jewelry,Men,NO,Tommy Bahama,138,
Clothing  Shoes & Jewelry,Men,NO,Tommy Hilfiger,593,
Clothing  Shoes & Jewelry,Men,NO,Travelers Club,1,
Clothing  Shoes & Jewelry,Men,NO,Travelon,1,
Clothing  Shoes & Jewelry,Men,NO,True Grit,66,
Clothing  Shoes & Jewelry,Men,NO,True Religion,257,
Clothing  Shoes & Jewelry,Men,NO,Tumi,15,
Clothing  Shoes & Jewelry,Men,NO,Under Armour,580,
Clothing  Shoes & Jewelry,Men,NO,UNIONBAY,51,
Clothing  Shoes & Jewelry,Men,NO,Van Heusen,196,
Clothing  Shoes & Jewelry,Men,NO,Versace,5,
Clothing  Shoes & Jewelry,Men,NO,Versace Jeans,43,
Clothing  Shoes & Jewelry,Men,NO,Versus by Versace,1,
Clothing  Shoes & Jewelry,Men,NO,Vestal,6,
Clothing  Shoes & Jewelry,Men,NO,Victorinox,48,
Clothing  Shoes & Jewelry,Men,NO,Vilebrequin,18,
Clothing  Shoes & Jewelry,Men,NO,Vince,132,
Clothing  Shoes & Jewelry,Men,NO,Vince Camuto,178,
Clothing  Shoes & Jewelry,Men,NO,Vintage 1946,63,
Clothing  Shoes & Jewelry,Men,NO,Volcom,563,
Clothing  Shoes & Jewelry,Men,NO,W.R.K,16,
Clothing  Shoes & Jewelry,Men,NO,Weatherproof Vintage,91,
Clothing  Shoes & Jewelry,Men,NO,WeSC,40,
Clothing  Shoes & Jewelry,Men,NO,Wigwam,124,
Clothing  Shoes & Jewelry,Men,NO,Wildkin,1,
Clothing  Shoes & Jewelry,Men,NO,Wolverine,149,
Clothing  Shoes & Jewelry,Men,NO,Woolrich,205,
Clothing  Shoes & Jewelry,Men,NO,Woolrich John Rich & Bros.,18,
Clothing  Shoes & Jewelry,Men,NO,Wrangler,726,
Clothing  Shoes & Jewelry,Men,NO,Young & Reckless,25,
Clothing  Shoes & Jewelry,Men,NO,Zachary Prell,10,
Clothing  Shoes & Jewelry,Men,NO,Zanerobe,197,
Clothing  Shoes & Jewelry,Men,NO,ZeroXposur,44,
Clothing  Shoes & Jewelry,Men,NO,Zodiac,1,
Clothing  Shoes & Jewelry,Men,NO,Zoot,18,
